"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2025","34.103","33.010","34.300","33.005","70.77K","3.66%"
"07/28/2025","32.899","32.550","33.120","31.985","77.51K","1.23%"
"07/25/2025","32.499","32.490","32.785","31.905","75.56K","0.44%"
"07/24/2025","32.358","32.820","33.200","32.095","79.50K","-1.02%"
"07/23/2025","32.690","33.350","33.730","32.555","77.51K","-1.27%"
"07/22/2025","33.111","33.295","33.495","32.900","75.59K","-0.14%"
"07/21/2025","33.159","33.500","34.000","33.110","72.53K","-1.30%"
"07/18/2025","33.595","34.350","34.770","33.410","77.21K","-2.36%"
"07/17/2025","34.407","34.910","35.300","34.300","75.32K","-1.15%"
"07/16/2025","34.809","34.500","35.155","34.375","70.17K","1.06%"
"07/15/2025","34.445","35.200","35.350","34.195","75.96K","-2.85%"
"07/14/2025","35.454","35.600","36.320","35.020","85.21K","-0.30%"
"07/11/2025","35.561","35.000","35.700","34.735","67.32K","1.11%"
"07/10/2025","35.170","34.695","35.390","34.465","65.57K","2.52%"
"07/09/2025","34.304","34.570","34.945","34.240","63.99K","0.25%"
"07/08/2025","34.219","34.175","34.635","33.755","83.25K","1.78%"
"07/07/2025","33.621","33.400","34.150","32.900","58.69K","0.45%"
"07/04/2025","33.469","33.750","34.025","33.225","57.53K","-0.45%"
"07/03/2025","33.621","33.460","34.255","33.305","67.09K","0.09%"
"07/02/2025","33.591","33.900","34.500","33.160","69.40K","-0.30%"
"07/01/2025","33.693","33.250","33.965","32.725","78.95K","2.42%"
"06/30/2025","32.898","33.415","33.535","32.640","72.69K","-0.57%"
"06/27/2025","33.087","33.610","33.900","32.760","72.32K","-2.75%"
"06/26/2025","34.024","35.255","35.650","33.410","97.36K","-3.89%"
"06/25/2025","35.401","35.155","35.975","35.100","91.44K","-0.60%"
"06/24/2025","35.615","37.000","37.100","35.030","185.69K","-12.11%"
"06/23/2025","40.522","42.100","42.440","40.200","132.36K","-0.99%"
"06/20/2025","40.929","40.715","41.225","39.700","112.46K","-1.68%"
"06/19/2025","41.628","39.200","41.900","39.200","112.61K","7.59%"
"06/18/2025","38.693","39.320","40.420","38.530","136.44K","-1.57%"
"06/17/2025","39.309","38.175","39.735","38.055","109.77K","3.70%"
"06/16/2025","37.906","38.100","39.610","37.340","127.92K","0.03%"
"06/13/2025","37.894","38.000","38.575","36.900","164.66K","4.75%"
"06/12/2025","36.177","36.150","36.650","35.665","87.32K","0.74%"
